country_iso3,country_name,region,income_group,expected_schooling,gdp_per_capita_ppp,health_spending_ppp,life_expectancy,obesity_prevalence,physicians_density,population,tobacco_prevalence,under5_mortality,predicted_life_expectancy_loo,residual_loo,absolute_residual_loo,prediction_band_low,prediction_band_high,position,cooks_distance,leverage,pc1,pc2,cluster_k2,cluster_k4,stable_all_specs
DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income,,15239.5171456469,874.606874516976,76.06909233,20.160908,18.35,40019529.0,21.2,24.9,73.09915570891091,2.96993662108909,2.96993662108909,68.63075798385987,77.56755343396196,within,0.0008414571147879964,0.007441075667350349,-0.20759040895254988,-0.1959274637112251,1,2,False
ECU,Ecuador,Latin America & Caribbean,Upper middle income,15.19845,13881.5700738105,844.972347142966,77.15293465,22.483808,18.06,16266225.0,11.3,15.3,71.82952299989577,5.323411650104234,5.323411650104234,67.36112527484471,76.29792072494683,above,0.0065650488264751726,0.018069908606416128,-0.31603102591085713,-1.1487411579334657,1,2,False
EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,,13425.9119599492,581.864496371668,70.05641038,39.606917,7.63,99597342.0,22.6,26.5,71.85956769985152,-1.8031573198515218,1.8031573198515218,67.39116997480048,76.32796542490257,within,0.0014236353283931377,0.034153059544344305,-0.09363269991288954,-0.19745885524613008,1,2,True
ESP,Spain,Europe & Central Asia,High income,17.47447,43053.761430314,3233.04254906521,82.32940416,19.09956,38.26,46422303.0,30.0,3.3,79.80177456004999,2.5276295999500036,2.5276295999500036,75.33337683499894,84.27017228510104,within,0.0016239605609969271,0.01982652992095143,-2.51329557237045,0.4381938774603492,1,1,True
EST,Estonia,Europe & Central Asia,High income,16.11494,36353.0580520449,1938.98623101845,77.63428878,20.852143,34.17,1315407.0,32.6,3.2,78.52060081038938,-0.8863120303893766,0.8863120303893766,74.05220308533833,82.98899853544043,within,0.00016776558966746444,0.01665818558398138,-2.0700355510299997,0.7680579816199223,1,1,True
ETH,Ethiopia,Sub-Saharan Africa,Low income,,1957.41454184551,62.4177160410784,67.10395358,1.7359033,,103867135.0,5.5,64.4,59.80220370463777,7.301749875362226,7.301749875362226,55.333805979586714,64.27060142968882,above,0.02855739014594148,0.041779448989712,3.282558285781661,-0.9382667592757774,2,4,False
FIN,Finland,Europe & Central Asia,High income,19.31862,52782.4873926277,4099.9675611187,81.19884704,20.42466,26.98,5479531.0,26.8,2.5,80.72189660802795,0.4769504319720568,0.4769504319720568,76.25349888297688,85.19029433307901,within,6.026969837071872e-05,0.020665723863665435,-2.7113359333698988,0.07529533477060789,1,1,True
FJI,Fiji,East Asia & Pacific,Upper middle income,,11674.0633676202,390.106130344108,67.8018416,31.667289,8.13,918578.0,28.7,20.9,71.24594280836602,-3.444101208366021,3.444101208366021,66.77754508331498,75.71434053341707,within,0.0040257356531787246,0.026472291752385378,0.22357177077121693,0.5635380801982369,1,2,True
FRA,France,Europe & Central Asia,High income,15.4227,50682.8953586333,4711.86798705055,81.90513823,12.536877,31.84,66548272.0,33.7,4.2,81.46772802432811,0.43741020567189537,0.43741020567189537,76.99933029927706,85.93612574937916,within,9.642878236516182e-05,0.03931216448104841,-2.4965425363797062,0.8010041661440604,1,1,True
GAB,Gabon,Sub-Saharan Africa,Upper middle income,,20147.7116201795,380.1839701867,64.00078432,17.147513,,2040989.0,13.3,44.4,72.37028220530782,-8.369497885307823,8.369497885307823,67.90188448025677,76.83867993035886,below,0.04090312449480218,0.045546580085602806,1.1798462492143922,-0.8567383398806256,2,2,False
GBR,United Kingdom,Europe & Central Asia,High income,17.32866,50462.8329992477,4225.91644790382,80.65863594,25.606212,27.67,65087000.0,19.2,4.5,79.95222596120496,0.7064099787950369,0.7064099787950369,75.4838282361539,84.42062368625602,within,0.00014920876330663834,0.023322697359090986,-2.4014292047471497,-0.7374620285756184,1,1,True
GEO,Georgia,Europe & Central Asia,Upper middle income,14.46464,14936.8434116647,1043.96680383389,72.85013916,29.186729,53.13,3725276.0,33.6,10.6,74.26685919994324,-1.4167200399432431,1.4167200399432431,69.79846147489218,78.7352569249943,within,0.0005695114746379464,0.022132603376114987,-0.8695824436643584,0.9369645217566136,1,2,True
GHA,Ghana,Sub-Saharan Africa,Lower middle income,11.5566,5607.36635657413,235.842765374433,64.33720534,10.941679,1.14,28696068.0,4.5,52.5,66.07855879353394,-1.7413534535339465,1.7413534535339465,61.61016106848289,70.546956518585,within,0.001106783393384419,0.02846996072568131,2.2427889655957447,-1.4087952406871829,2,4,True
GMB,"Gambia, The",Sub-Saharan Africa,Low income,,2495.95741601525,63.2149503666416,63.79523685,8.5227117,0.96,2224529.0,13.9,58.9,61.486371345972344,2.3088655040276578,2.3088655040276578,57.01797362092129,65.9547690710234,within,0.002021263241105089,0.029574928587164494,3.0324105860851462,-0.2210004376077233,2,4,True
GNB,Guinea-Bissau,Sub-Saharan Africa,Low income,,2230.52993109779,140.683848350167,57.5801364,8.6569585,1.98,1786457.0,11.0,91.6,62.58399570405471,-5.003859304054707,5.003859304054707,58.11559797900365,67.05239342910576,below,0.011949148539481895,0.037224157492238306,3.4141260527176276,-0.557659597746854,2,4,False
GRC,Greece,Europe & Central Asia,High income,,31347.976574604,2192.77755589205,80.41608244,25.214282,59.02,10820883.0,36.7,4.3,78.43596018149111,1.9801222585088851,1.9801222585088851,73.96756245644005,82.90435790654217,within,0.0011266187294384788,0.02241253869951048,-2.2687760856533594,1.101549229255236,1,1,True
GTM,Guatemala,Latin America & Caribbean,Upper middle income,10.75268,10785.9583125957,536.578179396124,72.0454314,21.573517,,15971743.0,12.2,28.1,70.26856214415835,1.7768692558416461,1.7768692558416461,65.80016441910729,74.73695986920941,within,0.0005697764255112733,0.014076400900092679,0.5388560094991259,-0.9708994564227551,2,2,True
GUY,Guyana,Latin America & Caribbean,High income,,12040.08253302,458.922703832091,66.95276619,23.467669,,758781.0,16.3,33.3,70.73494964855134,-3.78218345855133,3.78218345855133,66.26655192350029,75.20334737360238,within,0.0021858700570626635,0.011918929642545557,0.8193497737796787,-0.5808469264681172,2,2,True
HND,Honduras,Latin America & Caribbean,Lower middle income,9.88421,5812.5348879105,362.634075316857,69.52898147,25.14267,,9237305.0,13.6,20.3,67.42779670573296,2.101184764267046,2.101184764267046,62.959398980681904,71.89619443078402,within,0.001383109372040139,0.024435775979664648,0.8433857071990135,-0.7202968586182694,2,2,True
HRV,Croatia,Europe & Central Asia,High income,15.22484,29466.4506365792,1569.18138814489,77.60709528,25.067911,32.1,4151725.0,34.6,4.9,77.48579135549379,0.12130392450620775,0.12130392450620775,73.01739363044274,81.95418908054484,within,3.3226181077246556e-06,0.017612816937433762,-1.8520689952053708,0.9492844415789254,1,1,True
HTI,Haiti,Latin America & Caribbean,Lower middle income,,3402.0283988016,153.396223389899,62.5149437,8.6905643,0.87,10523242.0,9.0,69.1,63.91059621734827,-1.3956525173482675,1.3956525173482675,59.442198492297216,68.37899394239932,within,0.0006378496461585263,0.025542406330578804,2.8136245468403556,-0.8332294221792446,2,4,True
HUN,Hungary,Europe & Central Asia,High income,15.2196,31485.5675425634,1842.37776890944,75.5700037,26.965424,30.98,9797755.0,33.3,5.1,77.92739931101528,-2.357395611015278,2.357395611015278,73.45900158596422,82.39579703606634,within,0.0011927554689053037,0.016741122421304235,-1.8169299487036714,0.7831415111386479,1,1,True
IDN,Indonesia,East Asia & Pacific,Upper middle income,13.33804,10893.6621142169,293.233792506128,70.53899644,6.7955256,2.7,261799249.0,32.0,26.1,70.97575568984519,-0.43675924984518133,0.43675924984518133,66.50735796479412,75.44415341489625,within,8.641302460445042e-05,0.03533402244975771,0.8124022816629155,1.182824899291471,2,3,True
