country_iso3,class_id,ddd_2011,ddd_2021,absolute_change,percent_change,count,mean,median
AUS,antidiabetics,59.6,63.3,3.6999999999999957,6.20805369127516,27,38.60374483637937,29.569093610698374
AUT,antidiabetics,46.3,49.2,2.9000000000000057,6.2634989200864055,27,38.60374483637937,29.569093610698374
BEL,antidiabetics,61.7,77.7,16.0,25.93192868719611,27,38.60374483637937,29.569093610698374
CAN,antidiabetics,57.0,124.5,67.5,118.42105263157895,27,38.60374483637937,29.569093610698374
CHL,antidiabetics,34.0,77.2,43.2,127.05882352941177,27,38.60374483637937,29.569093610698374
CRI,antidiabetics,48.0,82.3,34.3,71.45833333333333,27,38.60374483637937,29.569093610698374
CZE,antidiabetics,76.2,97.5,21.299999999999997,27.952755905511804,27,38.60374483637937,29.569093610698374
DEU,antidiabetics,82.6,93.6,11.0,13.31719128329298,27,38.60374483637937,29.569093610698374
DNK,antidiabetics,49.0,67.0,18.0,36.734693877551024,27,38.60374483637937,29.569093610698374
ESP,antidiabetics,56.0,84.7,28.700000000000003,51.25000000000001,27,38.60374483637937,29.569093610698374
EST,antidiabetics,47.5,67.5,20.0,42.10526315789474,27,38.60374483637937,29.569093610698374
FIN,antidiabetics,84.2,105.6,21.39999999999999,25.41567695961994,27,38.60374483637937,29.569093610698374
FRA,antidiabetics,74.5,87.4,12.900000000000006,17.315436241610744,27,38.60374483637937,29.569093610698374
GBR,antidiabetics,77.8,90.0,12.200000000000003,15.681233933161957,27,38.60374483637937,29.569093610698374
HRV,antidiabetics,58.7,75.5,16.799999999999997,28.62010221465076,27,38.60374483637937,29.569093610698374
HUN,antidiabetics,74.5,76.4,1.9000000000000057,2.550335570469806,27,38.60374483637937,29.569093610698374
ISL,antidiabetics,38.1,60.3,22.199999999999996,58.26771653543306,27,38.60374483637937,29.569093610698374
ITA,antidiabetics,61.6,65.7,4.100000000000001,6.655844155844157,27,38.60374483637937,29.569093610698374
KOR,antidiabetics,64.1,78.5,14.400000000000006,22.464898595943847,27,38.60374483637937,29.569093610698374
LTU,antidiabetics,32.4,58.8,26.4,81.48148148148148,27,38.60374483637937,29.569093610698374
NLD,antidiabetics,72.9,78.7,5.799999999999997,7.956104252400545,27,38.60374483637937,29.569093610698374
NOR,antidiabetics,48.4,65.9,17.500000000000007,36.157024793388445,27,38.60374483637937,29.569093610698374
PRT,antidiabetics,58.6,79.3,20.699999999999996,35.324232081911255,27,38.60374483637937,29.569093610698374
SVK,antidiabetics,61.3,79.5,18.200000000000003,29.690048939641116,27,38.60374483637937,29.569093610698374
SVN,antidiabetics,67.3,87.2,19.900000000000006,29.569093610698374,27,38.60374483637937,29.569093610698374
SWE,antidiabetics,53.0,73.2,20.200000000000003,38.113207547169814,27,38.60374483637937,29.569093610698374
TUR,antidiabetics,53.4,96.3,42.9,80.33707865168539,27,38.60374483637937,29.569093610698374
AUS,antihypertensives,239.2,229.4,-9.799999999999983,-4.096989966555177,27,15.14765257196486,7.053051211284881
AUT,antihypertensives,270.0,204.4,-65.6,-24.296296296296294,27,15.14765257196486,7.053051211284881
BEL,antihypertensives,330.8,305.7,-25.100000000000023,-7.587666263603392,27,15.14765257196486,7.053051211284881
CAN,antihypertensives,318.9,350.70000000000005,31.800000000000068,9.97177798682975,27,15.14765257196486,7.053051211284881
CHL,antihypertensives,166.7,440.1,273.40000000000003,164.00719856028797,27,15.14765257196486,7.053051211284881
CRI,antihypertensives,224.5,308.1,83.60000000000002,37.23830734966593,27,15.14765257196486,7.053051211284881
CZE,antihypertensives,443.3,424.8,-18.5,-4.1732461087299795,27,15.14765257196486,7.053051211284881
DEU,antihypertensives,555.3,662.3000000000001,107.00000000000011,19.268863677291577,27,15.14765257196486,7.053051211284881
DNK,antihypertensives,389.0,445.0,56.0,14.395886889460154,27,15.14765257196486,7.053051211284881
ESP,antihypertensives,272.20000000000005,306.9,34.69999999999993,12.747979426891964,27,15.14765257196486,7.053051211284881
EST,antihypertensives,290.4,338.2,47.80000000000001,16.46005509641874,27,15.14765257196486,7.053051211284881
FIN,antihypertensives,413.5,502.7,89.19999999999999,21.571946795646912,27,15.14765257196486,7.053051211284881
FRA,antihypertensives,326.1,349.1,23.0,7.053051211284881,27,15.14765257196486,7.053051211284881
GBR,antihypertensives,373.7,380.3,6.600000000000023,1.7661225582017723,27,15.14765257196486,7.053051211284881
HRV,antihypertensives,256.8,406.5,149.7,58.29439252336448,27,15.14765257196486,7.053051211284881
HUN,antihypertensives,539.5,562.3,22.799999999999955,4.226135310472651,27,15.14765257196486,7.053051211284881
ISL,antihypertensives,265.1,276.9,11.799999999999955,4.451150509241778,27,15.14765257196486,7.053051211284881
ITA,antihypertensives,374.2,375.6,1.400000000000034,0.3741314804917248,27,15.14765257196486,7.053051211284881
KOR,antihypertensives,145.20000000000002,133.6,-11.600000000000023,-7.988980716253458,27,15.14765257196486,7.053051211284881
