country_iso3,specification,residual,position,predictive_r_squared,rmse_years,stable_all_specs
GRC,main,1.9801222585088851,within,0.7159528927808063,4.02105072722721,True
GTM,main,1.7768692558416461,within,0.7159528927808063,4.02105072722721,True
GUY,main,-3.78218345855133,within,0.7159528927808063,4.02105072722721,True
HND,main,2.101184764267046,within,0.7159528927808063,4.02105072722721,True
HRV,main,0.12130392450620775,within,0.7159528927808063,4.02105072722721,True
HTI,main,-1.3956525173482675,within,0.7159528927808063,4.02105072722721,True
HUN,main,-2.357395611015278,within,0.7159528927808063,4.02105072722721,True
IDN,main,-0.43675924984518133,within,0.7159528927808063,4.02105072722721,True
IND,main,1.1204760810737326,within,0.7159528927808063,4.02105072722721,True
IRL,main,-1.175040369337495,within,0.7159528927808063,4.02105072722721,True
IRN,main,4.356148534472965,within,0.7159528927808063,4.02105072722721,False
IRQ,main,0.43748533663905675,within,0.7159528927808063,4.02105072722721,True
ISL,main,1.9026160474277987,within,0.7159528927808063,4.02105072722721,True
ISR,main,3.1739243739054075,within,0.7159528927808063,4.02105072722721,True
ITA,main,2.4842386729205543,within,0.7159528927808063,4.02105072722721,True
JAM,main,2.121325712620603,within,0.7159528927808063,4.02105072722721,True
JOR,main,6.697096166834697,above,0.7159528927808063,4.02105072722721,True
JPN,main,4.100788602752772,within,0.7159528927808063,4.02105072722721,True
KAZ,main,-3.6879333995986343,within,0.7159528927808063,4.02105072722721,True
KEN,main,-1.2437687379622133,within,0.7159528927808063,4.02105072722721,True
KGZ,main,3.5305243160624826,within,0.7159528927808063,4.02105072722721,True
KHM,main,1.7579321925829845,within,0.7159528927808063,4.02105072722721,True
KIR,main,-4.549372650222239,below,0.7159528927808063,4.02105072722721,False
KOR,main,3.269934249082908,within,0.7159528927808063,4.02105072722721,True
KWT,main,2.748794464887837,within,0.7159528927808063,4.02105072722721,True
LAO,main,-1.2804520898984748,within,0.7159528927808063,4.02105072722721,True
LBN,main,3.3466732265602985,within,0.7159528927808063,4.02105072722721,False
LBR,main,-1.3170574013027192,within,0.7159528927808063,4.02105072722721,True
LBY,main,-0.3508597372427005,within,0.7159528927808063,4.02105072722721,True
LCA,main,3.2900288969355955,within,0.7159528927808063,4.02105072722721,True
LKA,main,4.86088069923602,above,0.7159528927808063,4.02105072722721,False
LSO,main,-17.81499056675154,below,0.7159528927808063,4.02105072722721,True
LTU,main,-4.2448582792058716,within,0.7159528927808063,4.02105072722721,False
LUX,main,-2.075472460806097,within,0.7159528927808063,4.02105072722721,True
LVA,main,-2.972050163521871,within,0.7159528927808063,4.02105072722721,True
MAR,main,4.249207619641069,within,0.7159528927808063,4.02105072722721,True
MDA,main,-0.8116189539740901,within,0.7159528927808063,4.02105072722721,True
MDG,main,1.5572963894765621,within,0.7159528927808063,4.02105072722721,True
MDV,main,1.5604523435132336,within,0.7159528927808063,4.02105072722721,True
MEX,main,1.7406988518155657,within,0.7159528927808063,4.02105072722721,True
MKD,main,-0.1132432312274716,within,0.7159528927808063,4.02105072722721,True
MLI,main,-1.8879464202852176,within,0.7159528927808063,4.02105072722721,True
MLT,main,1.9105996637575657,within,0.7159528927808063,4.02105072722721,True
MMR,main,-2.1730465324602335,within,0.7159528927808063,4.02105072722721,True
MNE,main,0.4057838359947681,within,0.7159528927808063,4.02105072722721,True
MNG,main,-3.164350100817387,within,0.7159528927808063,4.02105072722721,True
MOZ,main,-4.858509062605407,below,0.7159528927808063,4.02105072722721,True
MRT,main,3.632535170499267,within,0.7159528927808063,4.02105072722721,True
MUS,main,-0.7392891803327899,within,0.7159528927808063,4.02105072722721,True
MWI,main,1.2597599738972391,within,0.7159528927808063,4.02105072722721,True
MYS,main,-0.9888931282715845,within,0.7159528927808063,4.02105072722721,True
NER,main,0.3378937890053848,within,0.7159528927808063,4.02105072722721,True
NGA,main,-5.766224543414843,below,0.7159528927808063,4.02105072722721,False
NLD,main,-0.4578430959040958,within,0.7159528927808063,4.02105072722721,True
NOR,main,-0.8447120667213568,within,0.7159528927808063,4.02105072722721,True
NPL,main,3.301224812172066,within,0.7159528927808063,4.02105072722721,False
NZL,main,2.6912421990131463,within,0.7159528927808063,4.02105072722721,True
OMN,main,-2.6387104968876542,within,0.7159528927808063,4.02105072722721,True
PAK,main,0.2601435790960238,within,0.7159528927808063,4.02105072722721,True
PAN,main,2.5516457836508692,within,0.7159528927808063,4.02105072722721,False
PER,main,8.511390882548639,above,0.7159528927808063,4.02105072722721,True
PHL,main,0.5201760716161914,within,0.7159528927808063,4.02105072722721,True
PNG,main,0.42879071886608244,within,0.7159528927808063,4.02105072722721,True
POL,main,-0.09486333286821491,within,0.7159528927808063,4.02105072722721,True
PRT,main,2.298451796832211,within,0.7159528927808063,4.02105072722721,True
PRY,main,3.2103403511193846,within,0.7159528927808063,4.02105072722721,True
PSE,main,5.278771312220243,above,0.7159528927808063,4.02105072722721,False
QAT,main,-4.634947591081797,below,0.7159528927808063,4.02105072722721,False
ROU,main,-1.7389660084652547,within,0.7159528927808063,4.02105072722721,True
RUS,main,-6.3493446605695,below,0.7159528927808063,4.02105072722721,True
RWA,main,4.22080948154958,within,0.7159528927808063,4.02105072722721,True
