country_name,country_iso3,year,total_ddd_per_1000_day,access_ddd,watch_ddd,reserve_ddd,unclassified_ddd,access_share_pct,coverage_caveat,interpretive_quadrant,volume_band,access_target,paradox_quadrant,has_coverage_caveat
Saudi Arabia,SAU,2023,9.284593,5.7238436,3.3919163,0.05375941,0.005151643,62.38745377705756,somente setor público reportado,Volume < mediana · Access < 70%,low,below_70,low_volume__lower_access,True
Sudan,SDN,2021,15.162234,5.4043508,9.757884,0.0,0.0,35.643497619493395,,Volume < mediana · Access < 70%,low,below_70,low_volume__lower_access,False
Senegal,SEN,2023,12.836576,9.602545,3.1089108,0.0,0.1251202,74.80612431227766,,Volume < mediana · Access ≥ 70%,low,meets_70,low_volume__higher_access,False
Singapore,SGP,2023,9.535659,6.041889,3.386074,0.033291183,0.034860093,63.62485564511334,,Volume < mediana · Access < 70%,low,below_70,low_volume__higher_access,False
Slovenia,SVN,2023,13.757066,10.018336,3.4814837,0.034239713,0.08132817,73.58098283231222,,Volume < mediana · Access ≥ 70%,low,meets_70,low_volume__higher_access,False
Sweden,SWE,2021,9.67051,6.9949837,2.4602532,0.027060218,0.00020485799,73.76727911801679,,Volume < mediana · Access ≥ 70%,low,meets_70,low_volume__higher_access,False
Tajikistan,TJK,2023,18.814314,10.039482,8.268837,0.008007723,0.35065335,53.78203630549299,,Volume ≥ mediana · Access < 70%,high,below_70,high_volume__lower_access,False
East Timor,TLS,2019,7.783921,6.8170166,0.9669042,0.0,0.0,87.57818553343965,somente setor público reportado,Volume < mediana · Access ≥ 70%,low,meets_70,low_volume__higher_access,True
Tunisia,TUN,2023,33.54817,24.333237,7.047819,0.008068808,2.1590455,72.53223283595118,escopo de classes antimicrobianas parcial,Volume ≥ mediana · Access ≥ 70%,high,meets_70,high_volume__higher_access,True
Tanzania,TZA,2023,29.252254,20.012865,7.326545,0.008116056,1.3554388,69.72403408638309,,Volume ≥ mediana · Access < 70%,high,below_70,high_volume__higher_access,False
Uganda,UGA,2023,27.420889,14.909237,9.693218,0.013484294,1.7462882,56.55530058449468,,Volume ≥ mediana · Access < 70%,high,below_70,high_volume__lower_access,False
Ukraine,UKR,2023,10.645125,4.5894833,5.39758,0.037042953,0.42670858,43.91507622456409,,Volume < mediana · Access < 70%,low,below_70,low_volume__lower_access,False
South Africa,ZAF,2023,29.523716,15.1302805,3.707439,0.030695809,2.58e-05,80.18829119265743,somente setor público reportado,Volume ≥ mediana · Access ≥ 70%,high,meets_70,high_volume__higher_access,True
Zambia,ZMB,2023,24.699373,18.927828,4.9355536,0.0072260974,0.19705483,78.64423052488576,,Volume ≥ mediana · Access ≥ 70%,high,meets_70,high_volume__higher_access,False
