country_iso3,country_name,cooks_distance,leverage,residual_loo
DZA,Algeria,0.0008414571147879964,0.007441075667350349,2.96993662108909
MWI,Malawi,0.0008113086939224676,0.03987572716939961,1.2597599738972391
ARE,United Arab Emirates,0.0007406301998411891,0.04662451645447224,1.1131215391304892
MDV,Maldives,0.0007324093325918596,0.023461239178911124,1.5604523435132336
CAN,Canada,0.0007314347980392199,0.028814394299707946,1.4071231564869748
MEX,Mexico,0.0006506575827321607,0.016749556288978628,1.7406988518155657
HTI,Haiti,0.0006378496461585263,0.025542406330578804,-1.3956525173482675
AUT,Austria,0.0005822605345219823,0.03386711551706347,-1.1580268293377003
GTM,Guatemala,0.0005697764255112733,0.014076400900092679,1.7768692558416461
GEO,Georgia,0.0005695114746379464,0.022132603376114987,-1.4167200399432431
IND,India,0.0004991291170213359,0.031010289621101774,1.1204760810737326
DEU,Germany,0.00047563147874522723,0.02612310714939841,-1.1917136875780159
SVK,Slovak Republic,0.0004084129625837096,0.013474387837871365,-1.5376032401470496
IRL,Ireland,0.0003948305957796345,0.0223050561798079,-1.175040369337495
KEN,Kenya,0.00036463110023688306,0.018385376655673608,-1.2437687379622133
BOL,Bolivia,0.00031454285896891825,0.01074563109969907,1.511029697309823
DNK,Denmark,0.00030408098843092503,0.03365053661897802,-0.8395521642593877
SGP,Singapore,0.0002994927572695665,0.06306150312324543,0.6086393840633235
TGO,Togo,0.00029615642823593093,0.03019123633449769,-0.8747202515264902
NOR,Norway,0.0002871766203883057,0.03139278032107279,-0.8447120667213568
BFA,Burkina Faso,0.00026389740817685627,0.02711097080413523,-0.8713528906614556
PNG,Papua New Guinea,0.00023920510544054018,0.10147937613549876,0.42879071886608244
UKR,Ukraine,0.00021914674502831525,0.010063647871630402,-1.3032833426908184
CHE,Switzerland,0.0002176415746787132,0.046321388620647816,-0.6053815669257716
SLB,Solomon Islands,0.00021441482214353306,0.047684237335042956,0.5922281275257575
MYS,Malaysia,0.00021245894961353294,0.016946281211346743,-0.9888931282715845
SRB,Serbia,0.00020298845378335855,0.029395162028527978,-0.7339167287144193
EST,Estonia,0.00016776558966746444,0.01665818558398138,-0.8863120303893766
GBR,United Kingdom,0.00014920876330663834,0.023322697359090986,0.7064099787950369
BEL,Belgium,0.00014782866809213543,0.026683654081573402,-0.6573637167943787
ARM,Armenia,0.00014371848919395957,0.016206828231085397,0.8316801869274713
CZE,Czechia,0.00013237193121527232,0.015414568392766566,-0.8184295781884288
BEN,Benin,0.00012936964177804924,0.03187433984943726,0.5626581797149655
TUR,Turkiye,0.00012791630650588564,0.02016431206577361,0.703429048783093
IRQ,Iraq,0.00011718650586135173,0.04775828245356717,0.43748533663905675
BRA,Brazil,9.9954904470673e-05,0.01658099044963276,0.6857185026400145
FRA,France,9.642878236516182e-05,0.03931216448104841,0.43741020567189537
ARG,Argentina,9.09165169947892e-05,0.01491097922202832,-0.6896319293957873
IDN,Indonesia,8.641302460445042e-05,0.03533402244975771,-0.43675924984518133
NLD,Netherlands,8.574131618221469e-05,0.03190471751553072,-0.4578430959040958
MDA,Moldova,7.773161718248538e-05,0.009204314271435622,-0.8116189539740901
MUS,Mauritius,6.221121096077617e-05,0.008878468365041843,-0.7392891803327899
PHL,Philippines,6.1910773320228e-05,0.0178469326478667,0.5201760716161914
FIN,Finland,6.026969837071872e-05,0.020665723863665435,0.4769504319720568
