country_name,country_iso3,year,total_ddd_per_1000_day,access_ddd,watch_ddd,reserve_ddd,unclassified_ddd,access_share_pct,coverage_caveat,interpretive_quadrant
Germany,DEU,2016,12.994837,6.7450333,5.8465576,0.01864257,0.23820367,52.49691636814904,somente consumo comunitário reportado,
Germany,DEU,2017,12.717461,6.919184,5.380332,0.018743971,0.23739079,55.1081272624448,somente consumo comunitário reportado,
Germany,DEU,2018,11.887108,6.656122,4.8030467,0.018102871,0.23765837,56.81742898610819,somente consumo comunitário reportado,
Germany,DEU,2019,11.600114,6.920172,4.244373,0.01803221,0.24063297,60.57992360252624,somente consumo comunitário reportado,
Germany,DEU,2020,9.228744,5.81669,2.9877794,0.018475987,0.23387969,64.22438272294347,somente consumo comunitário reportado,
Germany,DEU,2021,8.402863,5.4536824,2.5538847,0.016320048,0.21125655,66.22449589221485,somente consumo comunitário reportado,
Germany,DEU,2022,10.406786,6.620843,3.3884788,0.016332867,0.22037557,64.61861664326455,somente consumo comunitário reportado,
Germany,DEU,2023,13.696483,8.220583,4.9639,0.05779281,0.2420366,60.964050298208704,somente consumo comunitário reportado,Volume < mediana · Access < 70%
Denmark,DNK,2016,17.264673,13.636905,3.4030845,0.03977218,0.0,79.84247822361887,,
Denmark,DNK,2017,16.474354,13.007076,3.2607372,0.038838767,0.0,79.76546029388865,,
Denmark,DNK,2018,15.790614,12.539928,3.0431557,0.044205748,1.77e-05,80.24369061949918,,
Denmark,DNK,2019,15.53949,12.397703,2.936992,0.04135173,1.06e-05,80.62992179283192,,
Denmark,DNK,2020,14.448407,11.660665,2.6180935,0.043730434,4.598e-05,81.41481288065792,,
Denmark,DNK,2021,14.555556,11.833321,2.5663323,0.040641893,0.000160603,81.94561977245776,,
Denmark,DNK,2022,15.240977,12.516422,2.5703533,0.03804301,0.000186448,82.75317727341373,,
Denmark,DNK,2023,16.258766,13.383833,2.7172148,0.03649815,9.896e-05,82.93547834669762,,Volume < mediana · Access ≥ 70%
Egypt,EGY,2020,28.714851,15.9870405,12.052173,0.3699267,0.24729669,55.7886542607077,,
Egypt,EGY,2021,30.552305,16.43046,13.485174,0.3810591,0.2110704,53.856651930581535,,
Egypt,EGY,2022,31.09345,17.953642,12.527085,0.36126435,0.17646572,57.880512752403,,
Egypt,EGY,2023,29.396042,17.29887,11.540444,0.34142435,0.1418365,58.99505786409477,,Volume ≥ mediana · Access < 70%
Spain,ESP,2016,27.900824,17.586596,9.314778,0.121951886,0.72123367,63.38754797856125,,
Spain,ESP,2017,27.262836,17.123663,9.164231,0.12774985,0.69702256,63.15742886020335,,
Spain,ESP,2018,26.80508,16.738457,9.093351,0.1341365,0.6917514,62.7903366547144,,
Spain,ESP,2019,25.608978,16.090952,8.535164,0.15197876,0.6821509,63.2003014223862,,
Spain,ESP,2020,20.402252,12.595409,6.856853,0.16562788,0.6504216,62.14335620620727,,
Spain,ESP,2021,20.716595,12.875249,6.8682914,0.17051178,0.6701552,62.549160928634215,,
Spain,ESP,2022,24.084013,14.701825,8.39576,0.18536891,0.6704693,61.37671793759451,,
Spain,ESP,2023,25.54098,15.749844,8.77622,0.21091461,0.6533537,62.03086989057215,,Volume ≥ mediana · Access < 70%
Estonia,EST,2016,12.007668,6.9657154,4.7317233,0.00957532,0.000810896,59.49623819946779,,
Estonia,EST,2017,12.108464,7.020425,4.779351,0.01476409,0.000651117,59.41863214063514,,
Estonia,EST,2018,12.223905,7.2461886,4.675563,0.01651413,0.000810929,60.69304023219942,,
Estonia,EST,2019,12.053391,7.3393655,4.595358,0.021012435,0.003456557,61.37007582167112,,
