country_iso3,country_name,region,income_group,expected_schooling,gdp_per_capita_ppp,health_spending_ppp,life_expectancy,obesity_prevalence,physicians_density,population,tobacco_prevalence,under5_mortality
MLT,Malta,"Middle East, North Africa, Afghanistan & Pakistan",High income,15.70612,46171.8893420758,3380.96255732967,81.67976101,30.724022,36.76,444220.0,27.1,6.6
MMR,Myanmar,East Asia & Pacific,Lower middle income,,5313.88615901476,231.926060209617,67.42672255,5.8640134,,51089056.0,49.9,50.5
MNE,Montenegro,Europe & Central Asia,Upper middle income,,21131.8410316247,1460.07615605329,76.86028429,15.337396,23.72,624651.0,36.5,4.2
MNG,Mongolia,East Asia & Pacific,Upper middle income,,13974.5967260365,450.032129379922,69.246045,19.13949,32.43,3026864.0,30.6,19.4
MOZ,Mozambique,Sub-Saharan Africa,Low income,9.87895,1512.5997455554,87.1087646025602,55.85530982,7.0243604,,26547572.0,15.4,75.8
MRT,Mauritania,Sub-Saharan Africa,Lower middle income,9.02561,5969.54239289516,146.123351879781,69.45426817,18.708511,1.75,3965959.0,12.7,49.1
MUS,Mauritius,Sub-Saharan Africa,Upper middle income,15.05727,22499.0254570551,1085.44737859004,74.12593279,17.413495,19.73,1262879.0,20.5,14.5
MWI,Malawi,Sub-Saharan Africa,Low income,,1597.69145324855,90.9372436984603,61.82512095,5.2410927,,17085587.0,12.8,57.4
MYS,Malaysia,East Asia & Pacific,Upper middle income,13.66391,27699.6278860387,937.402287554636,74.27826363,17.732966,14.89,31232798.0,19.7,8.2
NER,Niger,Sub-Saharan Africa,Low income,5.91809,1480.39815168147,62.6787226799257,59.63358442,4.3623619,0.32,19939498.0,8.1,125.4
NGA,Nigeria,Sub-Saharan Africa,Lower middle income,,8892.05798673631,185.883651818011,61.73359862,9.7264245,,190671878.0,4.7,117.8
NLD,Netherlands,Europe & Central Asia,High income,18.0801,63081.4083495966,5205.19864503666,81.28069061,13.97621,34.57,16939923.0,24.9,4.1
NOR,Norway,Europe & Central Asia,High income,17.78389,87688.1196708993,6144.9073964344,81.99495023,17.551239,40.91,5188607.0,20.8,2.7
NPL,Nepal,South Asia,Lower middle income,12.65251,3745.26182249477,161.650878659451,69.77673885,4.4135548,,27823629.0,37.7,37.8
NZL,New Zealand,East Asia & Pacific,High income,18.86965,45097.016468387,3337.03693948086,81.31375727,30.650365,30.31,4609400.0,14.3,5.6
OMN,Oman,"Middle East, North Africa, Afghanistan & Pakistan",High income,14.26833,39813.7887054675,1470.53207169293,73.77326508,26.458925,21.3,4184895.0,8.1,11.1
PAK,Pakistan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,7.58429,4645.28631071145,111.779544365698,65.69975806,15.381765,8.5,217290883.0,23.6,74.8
PAN,Panama,Latin America & Caribbean,High income,12.70657,29933.1671530011,1899.97147994564,78.14484121,29.526275,15.79,3960035.0,7.1,17.1
PER,Peru,Latin America & Caribbean,Upper middle income,,14540.8313160635,578.203049484522,80.33747677,21.035638,12.5,30457600.0,17.6,16.6
PHL,Philippines,East Asia & Pacific,Upper middle income,,7691.76308685047,268.757499478344,69.51615532,6.6070609,6.09,105312992.0,24.6,27.9
PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,,4155.05563962107,66.7453690597115,66.00102041,23.753305,,8743246.0,44.1,57.3
POL,Poland,Europe & Central Asia,High income,,31700.3682364154,1717.35929009022,77.27808527,21.5607,23.11,37986412.0,27.2,4.9
PRT,Portugal,Europe & Central Asia,High income,16.44728,35803.3575649772,2754.23640534913,80.89189476,18.95998,47.48,10358076.0,26.4,3.6
PRY,Paraguay,Latin America & Caribbean,Upper middle income,,14425.777586033,848.439222472206,75.16683709,27.317891,,6159103.0,11.5,21.9
PSE,West Bank and Gaza,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,13.20928,6072.65031768549,505.932246673966,74.56005234,35.659257,,4270092.0,31.9,18.2
QAT,Qatar,"Middle East, North Africa, Afghanistan & Pakistan",High income,11.99582,123070.887876565,3601.23643818727,77.79140376,37.929839,23.31,2344557.0,12.5,7.8
ROU,Romania,Europe & Central Asia,High income,14.63422,29181.8781722441,1066.21562150552,74.90936922,24.612576,27.58,19815616.0,32.8,9.2
RUS,Russian Federation,Europe & Central Asia,High income,15.1291,35037.15234375,1285.21134694727,71.29790344,19.779965,39.25,144640716.0,31.0,8.2
RWA,Rwanda,Sub-Saharan Africa,Low income,11.09285,2313.09716940962,118.424316858654,66.96378175,3.1311858,1.1,11640022.0,18.5,47.3
SAU,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan",High income,,58498.5399040699,3036.18967984046,76.88889936,36.607644,24.44,29816382.0,14.5,9.0
SEN,Senegal,Sub-Saharan Africa,Lower middle income,9.27044,3593.79477121279,131.086486936583,67.3624183,8.1595384,,14593331.0,8.1,52.2
SGP,Singapore,East Asia & Pacific,High income,,109894.041337341,3650.03509193405,82.84921063,10.065311,21.4,5535002.0,14.9,2.7
SLB,Solomon Islands,East Asia & Pacific,Lower middle income,,2665.06620679799,104.819583639622,65.15166823,19.040756,,639415.0,39.5,25.0
SLE,Sierra Leone,Sub-Saharan Africa,Low income,,2628.17058065746,315.226844600824,56.88673236,6.1630733,,7037655.0,18.8,136.8
SLV,El Salvador,Latin America & Caribbean,Upper middle income,12.23846,9646.15432339854,694.855934432273,72.73292352,27.094942,,6183676.0,10.3,14.6
SRB,Serbia,Europe & Central Asia,Upper middle income,14.55158,18247.8091057968,1312.5111832535,75.27946837,19.066407,30.43,7095383.0,40.1,6.3
STP,Sao Tome and Principe,Sub-Saharan Africa,Lower middle income,12.38349,5210.2037755431,206.126920521897,70.55687146,12.866674,3.15,200291.0,7.5,23.3
SVK,Slovak Republic,Europe & Central Asia,High income,14.67734,33507.7913603774,2033.76661924823,76.59625031,22.020927,34.54,5423801.0,30.3,6.2
SVN,Slovenia,Europe & Central Asia,High income,17.29199,38534.6437425951,2689.42033520024,80.46318817,16.77693,28.3,2063531.0,21.9,2.6
SWE,Sweden,Europe & Central Asia,High income,18.5686,58955.6412361461,5360.91054780113,81.74239456,15.461805,41.74,9799186.0,28.2,2.9
SWZ,Eswatini,Sub-Saharan Africa,Lower middle income,,9186.65344720515,615.778601788581,52.11336327,24.569643,,1142813.0,11.0,57.5
